Age,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Height,Weight,Preferred Foot_Right,Body Type_Normal,Body Type_Stocky,Position_Forward,Position_Middle,Position_Reserve,LogValue,LogWage
28,80,80,3.0,4.0,3.0,178,76,1,1,0,0,0,1,16.860032995687696,11.112447898373103
28,84,84,3.0,4.0,4.0,178,76,1,1,0,0,1,0,17.553180176247643,11.512925464970229
25,83,86,2.0,4.0,3.0,180,80,1,1,0,0,1,0,17.676240269004868,11.56171562913966
34,79,79,1.0,4.0,3.0,180,79,1,1,0,0,1,0,15.89495209964411,10.126631103850338
28,81,81,2.0,4.0,4.0,183,71,0,1,0,0,1,0,17.054189010128656,11.082142548877775
28,82,82,3.0,2.0,4.0,170,71,0,1,0,0,0,0,17.1296965626368,10.950806546816688
21,84,89,3.0,4.0,4.0,185,77,0,0,1,0,0,0,17.91815392300107,10.985292722887856
33,79,79,2.0,3.0,3.0,181,74,1,1,0,0,0,1,16.213405830762646,10.915088464214607
24,80,84,2.0,2.0,3.0,183,77,0,1,0,0,1,0,17.216707939626428,10.799575577092764
29,79,79,2.0,3.0,3.0,177,67,1,1,0,0,0,1,16.523560759066484,10.645424897265505
29,85,85,4.0,4.0,5.0,191,84,1,0,1,0,0,1,17.776323727561852,12.013700752882718
36,83,83,2.0,2.0,4.0,172,60,1,0,0,0,0,0,15.89495209964411,10.239959789157341
28,83,83,3.0,4.0,3.0,175,70,1,0,1,0,0,0,17.312018119430753,11.56171562913966
28,87,88,3.0,2.0,3.0,188,78,1,0,1,0,1,0,18.159315979817958,12.128111104060462
27,80,81,3.0,4.0,3.0,184,75,0,0,0,0,0,1,16.99356438831222,10.968198289528557
24,86,90,3.0,4.0,4.0,174,72,1,0,1,1,0,0,18.405567106142318,11.608235644774552
33,86,86,2.0,4.0,3.0,182,74,1,1,0,0,1,0,17.553180176247643,11.06663836234181
26,81,83,1.0,3.0,4.0,177,68,0,1,0,0,0,1,17.26549810379586,11.512925464970229
30,83,83,3.0,4.0,5.0,181,76,1,0,1,0,0,1,17.385043254445645,11.918390573078392
29,80,80,2.0,3.0,3.0,185,78,0,1,0,0,0,0,16.733281290048552,10.968198289528557
37,90,90,5.0,4.0,5.0,187,83,1,0,1,1,0,0,17.529082624668582,12.301382825334498
27,83,84,1.0,5.0,4.0,180,73,0,0,1,0,0,0,17.45309671769066,12.043553716032399
30,89,89,5.0,5.0,5.0,175,68,1,0,1,0,0,0,18.41566820212882,12.206072645530174
32,81,81,4.0,3.0,4.0,185,82,0,0,1,1,0,0,16.835935444108635,9.546812608597396
27,81,82,2.0,4.0,3.0,187,83,1,1,0,0,1,0,17.09265529095645,10.950806546816688
25,83,84,2.0,3.0,3.0,180,72,1,0,0,0,1,0,17.466168799258014,11.06663836234181
33,85,85,4.0,4.0,4.0,180,71,1,0,1,0,1,0,17.327055996795295,11.26446410567173
28,80,81,2.0,2.0,3.0,184,74,0,1,0,0,1,0,16.835935444108635,10.839580911706463
31,89,89,4.0,3.0,2.0,168,70,1,0,1,0,1,0,18.09217667698033,12.301382825334498
28,87,87,3.0,2.0,3.0,178,64,0,0,1,0,0,0,18.09217667698033,12.128111104060462
31,79,79,3.0,4.0,3.0,173,67,1,0,1,0,0,1,16.34123920227253,11.002099841204238
36,81,81,3.0,3.0,3.0,183,83,1,1,0,0,0,1,14.151982794585487,9.210340371976184
28,85,85,3.0,4.0,4.0,185,73,1,0,0,0,1,0,17.81371125963347,11.407564949312402
28,82,82,2.0,4.0,4.0,190,80,0,0,1,1,0,0,17.24949776244942,11.06663836234181
31,81,81,2.0,4.0,4.0,173,70,1,1,0,0,0,1,16.733281290048552,11.84939770159144
30,81,81,3.0,3.0,4.0,179,70,1,0,0,0,0,1,17.034386382832476,10.239959789157341
24,80,85,1.0,3.0,4.0,173,68,0,0,0,0,0,1,17.19990082131005,10.736396675471232
30,78,78,1.0,4.0,3.0,180,71,1,1,0,0,1,0,16.300417207752275,10.203592144986466
30,81,81,2.0,5.0,4.0,172,69,1,1,0,0,1,0,17.034386382832476,10.404262840448617
29,79,79,2.0,4.0,4.0,170,63,1,1,0,0,1,0,16.64872390202049,10.165851817003619
28,80,80,2.0,4.0,4.0,180,75,1,1,0,0,0,1,16.733281290048552,11.27720313144916
27,81,82,2.0,3.0,3.0,173,66,1,1,0,0,1,0,17.19990082131005,11.141861783579396
34,77,77,1.0,5.0,3.0,170,69,1,0,1,0,0,0,15.176487111099874,9.740968623038354
34,76,76,3.0,3.0,3.0,177,89,1,0,1,0,1,0,15.068273526459642,9.998797732340453
34,91,91,4.0,4.0,4.0,185,81,1,1,0,1,0,0,17.974393641323946,13.017002861746503
32,88,88,4.0,5.0,3.0,183,76,1,1,0,0,1,0,18.09217667698033,12.644327576461329
32,88,88,4.0,3.0,3.0,170,66,1,1,0,0,0,0,17.19990082131005,12.206072645530174
34,81,81,3.0,4.0,4.0,176,78,1,1,0,0,1,0,16.300417207752275,10.757902880692196
22,81,87,1.0,3.0,3.0,173,69,1,1,0,0,0,0,17.466168799258014,9.615805480084347
27,81,82,1.0,3.0,4.0,190,86,0,1,0,1,0,0,17.216707939626428,10.621327345686446
29,84,84,2.0,3.0,3.0,185,77,1,0,0,0,1,0,17.399029496420383,11.652687407345388
22,82,89,2.0,3.0,3.0,187,81,1,0,0,0,0,1,17.934547732776746,11.884489021402711
34,84,84,4.0,2.0,5.0,180,69,0,0,1,0,0,0,16.811242831518264,11.982929094215963
32,85,85,3.0,3.0,3.0,182,74,0,0,0,0,0,0,16.883563493097892,11.289781913656018
28,84,84,3.0,4.0,4.0,176,80,1,1,0,0,0,1,17.553180176247643,11.951180395901384
29,89,89,4.0,5.0,4.0,183,78,1,0,1,0,0,0,18.430631074805532,12.388394202324129
32,87,87,4.0,4.0,3.0,185,76,1,0,0,0,1,0,17.958645284355807,11.652687407345388
27,83,84,2.0,4.0,4.0,171,70,1,1,0,0,0,1,17.565014633894645,11.289781913656018
31,79,79,2.0,3.0,3.0,188,85,0,0,0,0,0,1,16.34123920227253,11.461632170582678
36,84,84,4.0,3.0,3.0,184,82,1,0,1,0,0,0,15.830413578506539,11.225243392518447
32,81,81,3.0,4.0,3.0,178,72,1,1,0,0,0,1,16.811242831518264,11.884489021402711
25,80,82,3.0,4.0,4.0,172,65,1,0,1,0,0,1,17.09265529095645,11.33857207782545
32,78,78,2.0,3.0,4.0,181,75,1,1,0,0,1,0,16.213405830762646,10.858998997563564
33,77,77,3.0,3.0,2.0,184,77,1,1,0,0,0,1,14.880221294956703,11.156250521031495
28,82,82,2.0,3.0,3.0,183,83,1,1,0,0,0,0,17.1296965626368,11.097410021008562
25,81,86,1.0,3.0,4.0,182,80,1,0,0,0,0,1,17.356469882001587,11.385092093460344
34,80,80,3.0,5.0,4.0,183,73,1,1,0,0,1,0,16.06680235657077,10.714417768752456
33,79,79,4.0,4.0,5.0,174,75,0,0,1,0,0,1,16.012735135300492,11.736069016284437
33,80,80,4.0,3.0,4.0,180,85,0,0,1,0,0,0,16.38045991542581,9.903487552536127
35,80,80,2.0,3.0,3.0,184,83,1,1,0,0,0,1,16.012735135300492,10.239959789157341
26,87,89,3.0,4.0,3.0,191,82,1,1,0,0,1,0,18.298513109978156,12.206072645530174
22,76,85,1.0,4.0,3.0,188,78,0,1,0,0,0,1,16.64872390202049,10.714417768752456
25,79,82,2.0,3.0,3.0,175,64,0,0,0,0,0,0,16.883563493097892,11.198214720130528
21,78,87,1.0,4.0,3.0,180,77,1,1,0,0,1,0,17.26549810379586,9.392661928770137
30,81,81,1.0,4.0,2.0,172,68,0,1,0,0,0,0,16.90655301132259,10.043249494911286
23,81,85,1.0,3.0,3.0,172,66,0,1,0,0,0,1,17.356469882001587,11.407564949312402
32,80,80,2.0,4.0,4.0,171,67,1,0,0,0,1,0,16.61887093887081,9.546812608597396
34,82,82,3.0,4.0,3.0,184,78,1,1,0,0,0,1,16.454567887579532,10.571316925111784
27,76,76,2.0,4.0,3.0,175,70,0,0,1,0,0,1,15.89495209964411,9.852194258148577
25,78,81,2.0,4.0,3.0,179,69,0,0,0,0,0,1,16.733281290048552,11.05089000537367
25,83,86,2.0,4.0,4.0,176,68,0,0,0,0,0,1,17.686711568872166,12.100712129872347
25,80,82,2.0,3.0,4.0,171,73,1,0,1,0,0,1,17.09265529095645,11.512925464970229
35,82,82,3.0,5.0,4.0,168,65,1,0,1,0,0,1,13.458835614025542,7.600902459542082
30,85,85,2.0,3.0,3.0,180,68,1,0,0,0,1,0,17.757092365633966,12.013700752882718
27,79,80,2.0,2.0,3.0,178,68,0,1,0,0,1,0,16.811242831518264,11.326595886778735
23,80,86,1.0,3.0,4.0,185,68,1,0,0,0,1,0,17.312018119430753,10.621327345686446
30,79,79,1.0,4.0,3.0,181,78,1,1,0,0,1,0,16.64872390202049,11.156250521031495
27,80,81,2.0,3.0,3.0,192,80,0,0,0,0,0,1,16.99356438831222,11.56171562913966
29,79,79,2.0,3.0,3.0,179,70,1,1,0,0,0,1,16.64872390202049,9.95227771670556
28,85,85,3.0,4.0,4.0,173,75,0,0,1,0,1,0,17.81371125963347,10.778956289890028
28,83,83,3.0,5.0,4.0,180,75,1,0,0,0,1,0,17.41282281855272,11.26446410567173
33,81,81,3.0,5.0,4.0,177,75,1,1,0,0,0,1,16.588099280204055,11.211820372186306
19,79,89,3.0,3.0,4.0,182,68,0,0,0,0,0,1,17.45309671769066,11.26446410567173
26,83,85,2.0,3.0,4.0,189,70,0,1,0,0,1,0,17.610999747136468,11.225243392518447
36,78,78,2.0,4.0,3.0,175,70,1,0,1,0,0,1,15.29711509888849,11.141861783579396
32,79,79,3.0,4.0,3.0,182,71,1,0,0,0,0,1,16.454567887579532,11.26446410567173
32,80,80,3.0,4.0,3.0,185,78,1,1,0,0,1,0,16.61887093887081,9.392661928770137
22,78,86,1.0,4.0,4.0,173,71,1,1,0,0,0,1,17.281246460764002,11.512925464970229
24,80,84,2.0,4.0,3.0,176,75,1,1,0,0,0,0,17.216707939626428,10.736396675471232
27,78,79,2.0,4.0,3.0,172,70,1,0,0,0,1,0,16.588099280204055,10.596634733096073
21,88,94,4.0,3.0,3.0,195,94,0,0,1,1,0,0,18.81272283172839,12.301382825334498
24,82,86,2.0,4.0,3.0,185,75,1,0,0,0,1,0,17.50439001207821,10.51867319162636
24,81,86,2.0,3.0,3.0,178,77,0,1,0,0,0,1,17.37085861945369,11.461632170582678
25,80,82,2.0,4.0,3.0,184,76,1,0,0,0,1,0,17.09265529095645,10.4341158035983
31,80,80,3.0,3.0,4.0,179,69,1,0,0,0,0,1,16.11809565095832,10.308952660644293
23,84,87,3.0,4.0,3.0,180,74,1,0,0,0,0,0,17.86729550576758,11.77528972943772
31,80,80,2.0,4.0,3.0,176,74,1,1,0,0,0,1,16.67771143889374,10.571316925111784
30,80,80,2.0,4.0,3.0,184,78,1,0,0,0,0,1,16.70588231586044,11.461632170582678
25,79,84,3.0,3.0,3.0,184,74,1,0,1,0,0,1,17.054189010128656,11.56171562913966
35,85,85,3.0,4.0,3.0,179,74,1,0,1,1,0,0,16.951004773893423,11.608235644774552
27,81,81,2.0,4.0,4.0,185,74,1,1,0,0,1,0,17.1296965626368,10.668955394675699
25,75,80,1.0,4.0,3.0,189,84,0,1,0,0,0,1,15.89495209964411,6.907755278982137
30,90,90,4.0,3.0,2.0,193,92,1,0,1,0,0,0,18.400478036634848,12.345834587905333
25,78,82,2.0,3.0,3.0,184,76,0,1,0,1,0,0,16.785925023533974,10.545341438708522
31,76,76,1.0,3.0,4.0,173,72,1,1,0,0,1,0,15.60727002719233,9.740968623038354
33,81,81,3.0,3.0,2.0,181,74,1,1,0,0,1,0,16.166885815127753,11.002099841204238
27,82,82,1.0,3.0,4.0,171,67,1,1,0,0,1,0,17.296750647299966,9.95227771670556
29,82,82,2.0,4.0,3.0,179,85,0,0,1,0,0,1,17.23323724157764,11.238488619268468
27,81,81,2.0,4.0,4.0,188,82,1,1,0,1,0,0,17.1296965626368,11.002099841204238
40,83,83,1.0,3.0,3.0,182,82,0,1,0,0,1,0,13.458835614025542,10.714417768752456
26,80,80,1.0,4.0,3.0,175,73,1,1,0,0,0,1,16.951004773893423,10.404262840448617
23,77,81,1.0,3.0,3.0,181,71,1,0,0,0,1,0,16.523560759066484,10.645424897265505
26,81,83,2.0,3.0,3.0,166,60,1,1,0,0,1,0,17.16541464523888,11.198214720130528
26,81,83,1.0,3.0,3.0,184,78,1,1,0,0,1,0,17.16541464523888,10.968198289528557
27,80,81,2.0,3.0,3.0,184,80,1,1,0,0,1,0,16.90655301132259,11.05089000537367
31,80,80,3.0,3.0,3.0,185,76,1,1,0,0,1,0,16.523560759066484,10.839580911706463
29,77,77,1.0,4.0,4.0,178,74,0,1,0,0,1,0,16.012735135300492,10.819778284410283
35,81,81,3.0,4.0,3.0,170,61,1,1,0,0,1,0,16.166885815127753,11.156250521031495
33,79,79,3.0,2.0,4.0,185,85,0,1,0,0,1,0,16.213405830762646,9.95227771670556
24,81,86,2.0,2.0,3.0,182,74,1,1,0,0,1,0,17.466168799258014,11.385092093460344
22,84,90,2.0,4.0,5.0,181,70,1,0,1,1,0,0,18.042344303232454,11.26446410567173
33,82,82,3.0,4.0,4.0,192,83,1,1,0,1,0,0,16.785925023533974,10.839580911706463
25,81,84,3.0,5.0,4.0,181,71,1,1,0,0,0,1,17.356469882001587,11.56171562913966
23,84,89,3.0,2.0,5.0,178,68,0,0,0,0,1,0,17.96655046386292,11.56171562913966
19,85,93,2.0,4.0,4.0,174,61,1,0,0,0,1,0,18.56910074907064,11.652687407345388
29,79,79,2.0,3.0,3.0,184,76,1,0,1,0,1,0,16.64872390202049,10.799575577092764
30,85,85,2.0,4.0,3.0,180,77,0,1,0,1,0,0,17.785802471516394,11.06663836234181
26,83,85,2.0,4.0,3.0,187,84,1,1,0,0,1,0,17.516812532076766,11.608235644774552
30,77,77,2.0,3.0,3.0,175,75,1,0,1,0,0,1,16.012735135300492,10.126631103850338
36,81,81,3.0,4.0,3.0,179,67,1,0,0,0,0,1,15.424948470398375,11.362102575235644
32,76,76,1.0,3.0,3.0,180,80,1,1,0,0,0,0,15.424948470398375,9.680344001221918
28,86,86,3.0,3.0,4.0,177,75,0,0,1,1,0,0,18.05683731053502,11.77528972943772
25,79,83,2.0,4.0,4.0,187,73,1,0,0,0,1,0,17.014183675514957,11.350406535472453
33,84,84,3.0,3.0,4.0,181,76,0,0,1,1,0,0,17.09265529095645,10.373491181781864
29,78,78,1.0,4.0,2.0,180,73,1,0,1,0,1,0,16.300417207752275,6.907755278982137
25,82,85,2.0,3.0,3.0,180,77,0,1,0,0,0,0,17.4264284706085,11.608235644774552
32,74,74,3.0,4.0,3.0,183,80,1,0,1,0,1,0,14.978661367769956,9.615805480084347
29,82,82,3.0,4.0,4.0,186,75,1,0,0,0,1,0,17.111347423968603,11.251560700835821
32,73,73,1.0,3.0,3.0,178,70,0,1,0,0,0,1,14.508657738524219,9.305650551780507
30,84,84,3.0,3.0,3.0,173,73,1,0,1,0,0,0,17.41282281855272,12.128111104060462
24,82,86,2.0,3.0,3.0,183,62,1,0,0,0,0,0,17.516812532076766,10.985292722887856
31,79,79,3.0,4.0,3.0,177,72,1,1,0,0,0,1,16.489659207390805,9.740968623038354
28,77,77,2.0,4.0,4.0,175,70,1,1,0,0,0,1,16.166885815127753,11.407564949312402
28,75,75,1.0,5.0,3.0,187,83,0,1,0,0,0,1,15.520258650202699,9.546812608597396
34,86,86,4.0,3.0,3.0,170,67,1,1,0,0,0,1,16.556350581889475,11.982929094215963
30,78,78,1.0,4.0,3.0,167,66,1,1,0,0,1,0,16.41820024340866,10.404262840448617
28,75,75,1.0,4.0,3.0,172,66,1,1,0,0,0,1,15.520258650202699,6.907755278982137
23,79,86,1.0,3.0,3.0,183,76,1,1,0,0,1,0,17.37085861945369,9.615805480084347
31,78,78,2.0,4.0,4.0,182,77,1,0,0,0,1,0,16.25785759333348,9.903487552536127
27,75,75,1.0,4.0,3.0,173,75,1,1,0,0,0,1,15.60727002719233,9.104979856318357
32,79,79,2.0,3.0,4.0,178,82,1,0,1,1,0,0,16.454567887579532,11.27720313144916
31,84,84,2.0,5.0,4.0,170,68,1,0,1,1,0,0,17.385043254445645,11.385092093460344
27,86,86,4.0,3.0,4.0,170,69,1,0,1,1,0,0,18.099097119824904,12.180754837545884
27,83,84,1.0,4.0,4.0,180,79,1,1,0,1,0,0,17.565014633894645,10.46310334047155
27,77,77,1.0,4.0,4.0,176,70,0,0,0,0,0,1,16.11809565095832,10.668955394675699
20,79,89,1.0,4.0,4.0,190,79,1,0,0,0,0,1,17.466168799258014,10.714417768752456
34,75,75,2.0,4.0,3.0,182,80,1,1,0,0,1,0,14.77102200299171,10.165851817003619
20,82,89,2.0,3.0,3.0,178,65,0,0,0,0,1,0,17.91815392300107,11.238488619268468
22,78,78,1.0,5.0,3.0,186,73,0,1,0,0,0,0,16.523560759066484,10.085809109330082
31,80,80,3.0,3.0,3.0,180,80,0,0,1,0,0,0,16.556350581889475,11.461632170582678
33,79,79,3.0,4.0,4.0,181,80,1,1,0,0,1,0,16.213405830762646,10.4341158035983
26,81,85,2.0,3.0,3.0,178,72,1,0,1,0,0,1,17.281246460764002,11.695247021764184
24,76,82,1.0,3.0,3.0,185,77,1,1,0,0,0,1,16.300417207752275,10.596634733096073
33,80,80,3.0,4.0,3.0,171,68,1,0,0,0,0,1,16.166885815127753,10.87804719253426
22,79,79,1.0,3.0,2.0,188,88,1,1,0,0,0,1,16.733281290048552,9.740968623038354
24,76,82,1.0,3.0,3.0,184,76,1,1,0,0,1,0,16.300417207752275,10.799575577092764
30,83,83,1.0,4.0,4.0,177,75,1,1,0,0,1,0,17.37085861945369,10.985292722887856
26,76,79,1.0,4.0,4.0,177,70,1,1,0,0,1,0,16.11809565095832,10.839580911706463
25,81,85,2.0,3.0,3.0,178,70,0,1,0,0,0,1,17.312018119430753,11.314474526246391
30,78,78,2.0,4.0,3.0,191,90,1,1,0,0,0,0,16.300417207752275,10.621327345686446
29,74,74,2.0,3.0,3.0,182,77,0,1,0,0,0,0,15.068273526459642,10.404262840448617
29,80,80,1.0,3.0,3.0,179,68,0,0,0,0,0,0,16.733281290048552,10.275051108968611
24,75,80,1.0,3.0,4.0,182,75,1,1,0,0,0,1,15.955576721460545,6.907755278982137
26,77,80,1.0,4.0,3.0,168,68,1,1,0,0,1,0,16.34123920227253,9.998797732340453
29,80,80,1.0,3.0,3.0,178,69,1,0,0,0,1,0,16.733281290048552,10.714417768752456
32,79,79,2.0,3.0,3.0,185,83,0,1,0,0,0,0,16.25785759333348,10.126631103850338
24,78,83,2.0,2.0,3.0,175,75,0,1,0,0,0,1,16.811242831518264,10.757902880692196
25,80,83,2.0,3.0,3.0,193,88,1,1,0,0,1,0,17.034386382832476,11.512925464970229
29,81,81,2.0,4.0,3.0,176,73,1,1,0,0,1,0,17.054189010128656,10.596634733096073
35,77,77,3.0,2.0,3.0,169,67,0,0,0,0,1,0,14.914122846632385,9.680344001221918
34,75,75,2.0,4.0,3.0,186,84,1,1,0,0,1,0,14.77102200299171,8.517193191416238
35,79,79,2.0,4.0,3.0,184,75,1,0,0,0,0,1,15.404745763080856,10.596634733096073
29,78,78,2.0,4.0,4.0,174,71,0,1,0,0,0,1,16.41820024340866,11.211820372186306
