opposingTeam,home_or_away,icetime,gameScore,I_F_primaryAssists,I_F_secondaryAssists,log10_I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_penalityMinutes,log10_I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,I_F_dZoneGiveaways,penalityMinutesDrawn,penaltiesDrawn
CBJ,HOME,1.7075701760979365,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBJ,HOME,3.0017337128090005,2.32,1.0,1.0,0.8450980400142568,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.9542425094393248,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0
CBJ,HOME,2.8926510338773004,2.32,0.0,0.0,0.6989700043360189,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.9542425094393248,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0
CBJ,HOME,0.6989700043360189,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBJ,HOME,2.230448921378274,2.32,1.0,1.0,0.4771212547196624,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
OTT,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTT,AWAY,2.904715545278681,1.715,2.0,0.0,0.4771212547196624,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8450980400142568,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
OTT,AWAY,2.8819549713396007,1.715,1.0,0.0,0.4771212547196624,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8450980400142568,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
OTT,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTT,AWAY,1.6232492903979006,1.715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
