requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
6,1.024833333,1.0,3.340169271,8.0,1.0,1,6,0
17,0.051470588,1.0,120.26941640000001,4.294117647,1.0,1,17,0
15064,5.003468141,0.530996415,1.517237544,72.93346953,0.10429809300000001,7,14387,1
5311,3.130512865,0.395429321,327.4523168,393.822748,0.960805182,3,103,1
4,0.02375,1.0,24.23071289,27.0,1.0,1,4,0
2,8020.5325,1.0,0.0,2.5,1.0,1,2,0
6975,10.78068725,0.682866766,10.51563217,80.40307479,0.089029265,13,6949,1
9,1.7302222219999999,1.0,49.88226997,205.11111110000002,1.0,2,9,0
87,567.1966092,1.0,23.37194684,494.2183908,0.91954023,4,53,0
34,0.127294118,1.0,22.79609949,3.117647059,1.0,1,34,0
41,41.46241463,1.0,26.05111471,69.73170732,0.975609756,2,40,0
86,132.8915581,1.0,16.65744231,2236.1860469999997,0.9767441859999999,4,62,0
40,283.4988,1.0,13.31557617,17.05,0.85,4,10,0
12,1852.014417,0.708333333,0.0,28.91666667,0.0,4,9,0
5,0.1856,1.0,4.008203125,3.8,1.0,1,5,0
9,0.16855555600000002,1.0,29.667209200000002,6.8888888889999995,0.8888888890000001,1,9,0
8,0.371375,1.0,13.76000977,3.125,1.0,2,8,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
9,1.028333333,1.0,29.667209200000002,485.4444444,0.8888888890000001,1,9,0
114,107.7304123,1.0,28.18529845,103.33333329999999,0.98245614,4,105,0
15,7.3728,1.0,901.4453125,1002.866667,0.933333333,2,9,0
28,1.387892857,1.0,63.69461496,31.89285714,1.0,4,28,0
14,14.77578571,1.0,13.96079799,17.35714286,0.9285714290000001,2,9,0
109,0.7397155959999999,1.0,47.62359339,285.00917430000004,0.9908256879999999,2,109,0
4,0.01275,1.0,1.955078125,4.5,1.0,1,4,0
6,11.48783333,1.0,6.792317708,4.0,1.0,1,6,0
7572,9.928739435,0.714276281,0.319277127,78.92591125,0.128763867,13,7112,1
288,19.88554514,0.821180556,2434.063751,732.6770832999999,0.864583333,4,46,0
150,473.82943330000006,0.9933333329999999,258.7326432,154.02,0.933333333,4,107,0
28,0.6820714290000001,1.0,23.46484375,188.1785714,0.892857143,1,28,0
5,0.1714,1.0,2.098242188,10.0,0.8,1,5,0
5,0.3538,1.0,7.47265625,9.4,0.8,1,5,0
14,1396.541071,1.0,21.11118862,101.42857140000001,0.9285714290000001,2,10,0
9,17.13877778,0.611111111,1509.427951,2102.0,0.666666667,2,8,0
89,2.561617978,1.0,36.86644136,74.14606742,0.988764045,2,80,0
10,4.324,1.0,26.70048828,15.8,0.9,3,9,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
2,1008.4325,1.0,0.0,17.5,1.0,2,1,0
1,0.0,1.0,14.06933594,29.0,1.0,1,1,0
27,0.294962963,1.0,108.23712379999999,148.037037,0.851851852,1,27,0
1,0.0,1.0,14.92675781,240.0,1.0,1,1,0
1,0.0,1.0,21.46875,2.0,1.0,1,1,0
13,1544.261462,1.0,21.45988582,26.0,0.923076923,3,13,0
1,0.0,1.0,0.0,1.0,1.0,1,1,0
41,981.6815366000001,1.0,54.40224848,226.39024390000003,1.0,4,21,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
5,0.3226,1.0,4.6265625,3.0,1.0,1,5,0
12,1182.64425,1.0,9.505045573,59.33333333,1.0,3,8,0
160,12.54823125,1.0,25.73305054,214.6125,1.0,2,107,0
200,24.701885,1.0,1.8629931640000001,8.305,1.0,5,40,0
727,47.09613618,0.5,3864.700878,1848.61348,0.12242090800000001,4,2,1
34,272.2442647,1.0,9.649902344,43.41176471,1.0,2,17,0
2,1462.362,1.0,10.734375,3.0,1.0,2,1,0
9,0.325333333,1.0,29.667209200000002,29.88888889,0.8888888890000001,2,9,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
325,34.84321538,1.0,24.9898137,73.18153846,0.984615385,1,88,0
6,12.93533333,1.0,38.68815104,5.5,1.0,2,6,0
31,1296.80271,0.661290323,79.56930444,418.8064516,0.45161290299999995,4,28,0
8,0.322,1.0,29.83813477,44.875,1.0,2,7,0
10,1001.0385,1.0,26.28603516,11.6,1.0,2,9,0
6,5.99,1.0,3.799804688,7.166666667,1.0,2,6,0
11999,6.268538437,0.574542485,0.534701739,96.89756627,0.060336752,12,11991,1
1,0.0,1.0,0.0,2.0,1.0,1,1,0
63,3.918619048,0.9841269840000001,238.0362568,372.76190479999997,0.7777777779999999,1,60,0
9,0.361,1.0,29.667209200000002,36.33333333,0.8888888890000001,1,9,0
50,0.06644,1.0,24.31353516,20.9,0.98,1,50,0
181,92.28559669,1.0,22.48917149,34.60773481,0.983425414,2,148,0
5,0.45899999999999996,1.0,18.29941406,146.4,0.8,1,5,0
